#
#      particles_0001_v1.dat
#
#This is a special data file which contains particles of the
#Standard Model. The format for entering new particles is.
#Particle codes taken from  http://pdg.lbl.gov /2000/ montecarlorpp.pdf
#Name anti_Name  Spin    Linetype Mass Width Color Label Model
#xxx   xxxx      SFV      WSDC     str  str  STO    str  PDG code

#
# Quarks
#

d1       d1~        F        S      ZERO  ZERO    T    d    1
u1       u1~        F        S      ZERO  ZERO    T    u    2
s1       s1~        F        S      ZERO  ZERO    T    s    3
c1       c1~        F        S      ZERO  ZERO    T    c    4
b1       b1~        F        S      ZERO  ZERO    T    b    5
t       t~        F        S      TMASS TWIDTH  T    t    6

d2       d2~        F        S      ZERO  ZERO    T    d    1
u2       u2~        F        S      ZERO  ZERO    T    u    2
s2       s2~        F        S      ZERO  ZERO    T    s    3
c2       c2~        F        S      ZERO  ZERO    T    c    4
b2       b2~        F        S      ZERO  ZERO    T    b    5

#
# Leptons
#

e-       e+       F        S      ZERO  ZERO    S    e    11
mu-      mu+      F        S      ZERO  ZERO    S    mu   13
ta-      ta+      F        S      ZERO  ZERO    S    ta   15
ve       ve~      F        S      ZERO  ZERO    S    ve   12
vm       vm~      F        S      ZERO  ZERO    S    vm   14
vt       vt~      F        S      ZERO  ZERO    S    vt   16

#
# Bosons
#

g        g        V        C      ZERO  ZERO    O   _    21
z        z        V        W      ZMASS ZWIDTH  S   Z    23
a        a        V        W      ZERO  AWIDTH  S   A    22
w-       w+       V        W      WMASS WWIDTH  S   W    -24
h        h        S        D      HMASS HWIDTH  S   h    25

#
# Groups of particles to sum over. Note spaces are important
# you can NOT have any spaces between particles to be summed over
# The following line is a TAG and should not be modified:
# MULTIPARTICLES
P1 d1d1~u1u1~s1s1~c1c1~b1b1~g
J1 d1d1~u1u1~s1s1~c1c1~b1b1~g
P2 d2d2~u2u2~s2s2~c2c2~b2b2~g
J2 d2d2~u2u2~s2s2~c2c2~b2b2~g
