9
ycm	sshat	y_top	eta_top	pt_top	eta_w	pt_w	m_w	dy
-4.08561466	122.2912678	-4.204967357	-11.75535161	0.01008255813	-11.62962822	0	0	-3.734003487
-2.156121874	170.0436217	-2.226064906	-3.799949688	13.58152429	-3.71857748	13.32596844	26.97314387	-1.454401599	
-1.821713363	190.3585143	-1.800194723	-3.188316116	20.00157221	-3.053832013	19.61562401	37.29636858	-1.14465488	
-1.572419941	208.2183941	-1.485986111	-2.749655737	25.3872932	-2.572752005	24.90942058	45.9088371	-0.9350532352	
-1.353952905	225.5505037	-1.223104315	-2.378187763	30.34186838	-2.168045344	29.77314562	53.89545972	-0.7685862213
-1.147409273	242.8430527	-0.990223814	-2.033946528	35.11364101	-1.802312197	34.46656669	61.67286255	-0.624853498
-0.9413822918	260.6495903	-0.7758204851	-1.69297964	39.83448352	-1.464328218	39.10715659	69.4887968	-0.4943605078
-0.7271972487	279.3574112	-0.5729069691	-1.337568592	44.61310625	-1.147766558	43.8137293	77.60291498	-0.3707210586
-0.4972090819	299.2155034	-0.3774141877	-0.9465470672	49.5140496	-0.8515594808	48.64130295	86.15034229	-0.2495055391
-0.2519183258	320.7575702	-0.1875455733	-0.4995575704	54.61744025	-0.5602850603	53.67592866	95.33836481	-0.126622372
0.0006580199588	344.1760244	0.0003026757731	0.000824900657	60.03357371	0.08362641704	59.01415712	105.4419815	-0.0001342749386
0.2528379332	370.1575856	0.1876145399	0.5001880834	65.85210909	0.5599436293	64.7498515	116.7349724	0.1262773759
0.4981071808	399.5313117	0.3783125635	0.947473367	72.22758466	0.8502081336	71.04359385	129.6166217	0.2490563004
0.7277806722	433.2869096	0.5738815424	1.338750917	79.32462326	1.146640765	78.05497385	144.755239	0.3704190852
0.9416995613	472.7771833	0.776436391	1.694700278	87.42805133	1.463579644	86.06666259	163.1131218	0.4940765783
1.147635596	520.5090952	0.9910596025	2.034074143	96.93519465	1.802144767	95.46810357	186.3628296	0.6247016041
1.354580662	580.4937343	1.224336713	2.378428842	108.5861175	2.168083835	106.9930047	217.2255549	0.7685143642
1.573045766	660.6340804	1.487146063	2.750719987	123.7488693	2.573924685	122.0348573	261.7429316	0.935747674
1.822774297	778.3965932	1.800355442	3.188309005	145.5855213	3.05609673	143.6894946	334.2577151	1.145342431
2.155785481	992.6456201	2.226607166	3.800454676	184.9727456	3.722875229	182.9226843	483.3429628	1.454754293
4.091623771	6281.663649	4.226483879	11.57339936	2041.016666	11.82131608	2041.016666	5434.115944	3.870626999
